OID_,UIDENTSTLAE,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrassenzustand,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,PLST,index_right,FID,SBZ,Name
256426,14231209148220873040,14,7,13,000,2023,12,21,7,2,5,3,2,1,1,1,0,0,0,0,"736463,113699999637902","5687479,885800000280142",12.391454065000062,51.28947224600006,1,4,4,4,Süd
256427,14231209148210907240,14,7,13,000,2023,12,11,7,3,2,6,0,0,0,1,0,0,0,0,"737379,252999999560416","5692675,103199999779463",12.408025900000041,51.335724103000075,1,2,2,2,Ost
256428,14231209144320873210,14,7,13,000,2023,12,14,7,3,5,3,0,0,1,1,0,0,0,0,"736572,286700000055134","5697169,497600000351667",12.399450307000052,51.376402591000044,1,1,1,1,Nordost
256429,14231209144200873030,14,7,13,000,2023,12,14,7,3,5,3,0,0,1,1,0,0,0,0,"737188,027300000190735","5693903,300899999216199",12.406103675000054,51.34682828000007,1,2,2,2,Ost
256434,14231208148310892500,14,7,13,000,2023,12,16,6,3,6,4,2,1,0,1,1,0,0,0,"730032,760900000110269","5694237,861999999731779",12.303753982000046,51.35277203800007,1,7,7,7,Alt-West
256435,14231208148310891690,14,7,13,000,2023,12,09,6,3,0,5,0,0,1,1,0,0,0,0,"731879,334200000390410","5692553,263100000098348",12.329129704000025,51.336899447000064,1,7,7,7,Alt-West
256436,14231208148310891670,14,7,13,000,2023,12,14,6,3,6,4,0,1,0,1,1,0,0,0,"732618,614500000141561","5692080,471799999475479",12.339415651000024,51.33235343300004,1,5,5,5,Südwest
256437,14231208148210892110,14,7,13,000,2023,12,07,6,3,2,2,0,0,0,1,0,0,0,0,"738332,917000000365078","5690150,619000000879169",12.42000366600007,51.312665596000045,1,3,3,3,Südost
256438,14231208144310955400,14,7,13,000,2023,12,13,6,3,0,1,0,1,1,0,0,0,0,0,"735391,241499999538064","5691180,218699999153614",12.37855038500004,51.32313180600005,1,4,4,4,Süd
256439,14231208144200932300,14,7,13,000,2023,12,02,6,2,1,5,2,0,1,1,0,0,0,0,"737090,685399999842048","5693762,002900000661612",12.404614369000058,51.34560058200003,1,2,2,2,Ost
256455,14231207148410873570,14,7,13,000,2023,12,16,5,3,5,3,2,0,0,1,0,0,0,0,"734791,428399999625981","5692632,203900000080466",12.37091394600003,51.33641326500003,1,0,0,0,Mitte
256456,14231211148410933260,14,7,13,000,2023,12,23,2,3,0,1,2,0,1,0,0,0,0,0,"735597,412999999709427","5693122,018899999558926",12.38278787300004,51.34047667500005,1,0,0,0,Mitte
256457,14231207148310943260,14,7,13,000,2023,12,12,5,3,2,3,0,0,0,1,0,0,0,0,"731149,021099999547005","5693988,961400000378489",12.319595358000072,51.35008483100006,1,7,7,7,Alt-West
256458,14231207144200932310,14,7,13,000,2023,12,05,5,1,6,4,2,1,0,0,1,0,0,1,"729062,265800000168383","5700944,692500000819564",12.294164592000072,51.41337157500004,1,8,8,8,Nordwest
256459,14231207144200866791,14,7,13,000,2023,12,16,5,3,3,6,1,1,0,0,0,0,0,1,"734768,924300000071526","5693098,349400000646710",12.370898690000047,51.34060686600003,1,0,0,0,Mitte
256460,14231223148410943270,14,7,13,000,2023,12,11,7,3,5,2,0,1,0,1,0,0,0,0,"736562,359100000001490","5690726,316299999132752",12.395026592000022,51.31857179100007,1,0,0,0,Mitte
256468,14231206144200932880,14,7,13,000,2023,12,13,4,3,3,6,0,0,0,1,0,0,0,0,"739846,304299999959767","5693557,800799999386072",12.443971110000064,51.34261192900004,1,2,2,2,Ost
256469,14231206144200873520,14,7,13,000,2023,12,13,4,3,5,3,0,1,0,0,0,0,1,1,"736787,653599999845028","5693773,657600000500679",12.400278826000033,51.345831486000066,1,2,2,2,Ost
256476,14231205148310866820,14,7,13,000,2023,12,08,3,3,2,6,0,1,0,1,0,0,0,0,"729855,955000000074506","5693796,003000000491738",12.300933862000022,51.348876989000075,1,7,7,7,Alt-West
256477,14231205148210850880,14,7,13,000,2023,12,05,3,3,5,3,2,1,1,1,0,0,0,0,"736546,605999999679625","5687255,558000000193715",12.392500750000067,51.287423955000065,1,4,4,4,Süd
256478,14231205148110866980,14,7,13,000,2023,12,12,3,3,1,5,0,1,0,1,0,0,0,1,"736716,313199999742210","5697481,067800000309944",12.401723520000075,51.37913924800006,1,1,1,1,Nordost
256487,14231204148210892100,14,7,13,000,2023,12,18,2,3,2,6,2,0,0,1,0,0,0,0,"740290,784799999557436","5693901,809900000691414",12.450573163000058,51.345511972000054,1,2,2,2,Ost
256488,14231204148210872830,14,7,13,000,2023,12,16,2,3,6,4,2,1,0,1,1,0,0,0,"737570,862700000405312","5693405,561200000345707",12.41125878500003,51.34220071000004,1,2,2,2,Ost
256489,14231204148110850860,14,7,13,000,2023,12,16,2,3,1,5,2,1,0,1,0,0,0,1,"731233,948900000192225","5696681,105200000107288",12.32256290500004,51.37421717500007,1,8,8,8,Nordwest
256490,14231204144200985400,14,7,13,000,2023,12,12,2,3,6,4,0,1,0,0,1,0,0,1,"740213,558400000445545","5693905,831199999898672",12.449469064000027,51.34558070000003,1,2,2,2,Ost
256491,14231204144200850470,14,7,13,000,2023,12,09,2,3,6,4,0,1,0,1,1,0,0,0,"737096,590300000272691","5691730,420099999755621",12.403346879000026,51.32736243100004,1,3,3,3,Südost
256505,14231201144310943030,14,7,13,000,2023,12,07,6,3,2,7,2,2,0,1,0,0,0,0,"745735,222900000400841","5692402,778599999845028",12.527563816000054,51.329731294000055,1,2,2,2,Ost
256513,14231130144200907890,14,7,13,000,2023,11,18,5,3,2,6,2,1,0,1,0,0,0,0,"737366,256699999794364","5693163,728299999609590",12.40816527000004,51.340115455000046,1,2,2,2,Ost
256514,14231130144200873510,14,7,13,000,2023,11,20,5,3,6,4,2,2,0,1,1,0,0,1,"737096,468399999663234","5692955,385999999940395",12.404160241000056,51.338357907000045,1,3,3,3,Südost
256515,14231130144200849370,14,7,13,000,2023,11,21,5,2,5,3,2,2,1,0,0,0,0,1,"735595,872999999672174","5693187,205900000408292",12.382808924000074,51.34106245000004,1,0,0,0,Mitte
256519,14231129148410907030,14,7,13,000,2023,11,08,4,3,5,2,0,2,1,1,0,0,0,0,"735523,555599999614060","5692046,664200000464916",12.381018459000074,51.33085455300005,1,0,0,0,Mitte
256520,14231129144200873480,14,7,13,000,2023,11,13,4,3,3,6,0,1,0,1,0,0,0,1,"735463,694000000134110","5691837,127699999138713",12.380022286000042,51.32899846600003,1,0,0,0,Mitte
256521,14231129144200850000,14,7,13,000,2023,11,15,4,3,2,2,0,1,0,1,0,0,0,0,"737378,508500000461936","5692666,697799999266863",12.408009631000027,51.335648966000065,1,2,2,2,Ost
256530,14231128149210849430,14,7,13,000,2023,11,13,3,2,5,3,0,1,1,1,0,0,0,0,"734084,879999999888241","5693421,210999999195337",12.36130732600003,51.34378703800007,1,0,0,0,Mitte
256531,14231128148320885670,14,7,13,000,2023,11,10,3,3,5,3,0,2,0,1,0,0,0,0,"728863,839499999769032","5694330,820499999448657",12.287055335000048,51.35407842800004,1,7,7,7,Alt-West
256532,14231128148310849020,14,7,13,000,2023,11,16,3,3,5,2,2,1,1,1,0,0,0,0,"731768,686999999918044","5690161,220499999821186",12.325988634000055,51.315471597000055,1,5,5,5,Südwest
256533,14231128148222848990,14,7,13,000,2023,11,17,3,3,2,6,2,2,0,1,0,0,0,0,"737147,585900000296533","5694327,248800000175834",12.405806442000028,51.35065053500006,1,1,1,1,Nordost
256534,14231128148210850040,14,7,13,000,2023,11,09,3,3,1,5,0,1,1,1,0,0,0,0,"736374,911600000225008","5688787,862099999561906",12.391057242000045,51.30124962200006,1,4,4,4,Süd
256541,14231127148410850090,14,7,13,000,2023,11,22,2,3,5,3,2,1,0,1,0,0,0,1,"735252,009499999694526","5692284,432499999180436",12.377284576000022,51.33310121400007,1,0,0,0,Mitte
256542,14231127148310850060,14,7,13,000,2023,11,08,2,3,5,2,0,1,1,1,0,0,0,0,"730744,666500000283122","5685497,314699999988079",12.308306077000054,51.274019672000065,1,5,5,5,Südwest
256543,14231206148110867070,14,7,13,000,2023,12,19,4,3,5,3,2,1,0,1,0,0,0,0,"729633,087700000032783","5700538,846799999475479",12.302096255000038,51.40949750000004,1,8,8,8,Nordwest
256544,14231127148310827450,14,7,13,000,2023,11,10,2,3,3,5,0,1,0,1,0,0,0,0,"732825,353199999779463","5691615,017699999734759",12.342074024000055,51.328090614000075,1,5,5,5,Südwest
256545,14231127148210866810,14,7,13,000,2023,11,15,2,3,2,2,0,1,0,1,0,0,0,0,"735621,426699999719858","5689342,140399999916553",12.38063382100006,51.30653730800003,1,4,4,4,Süd
256556,14231126144200985040,14,7,13,000,2023,11,17,1,3,5,3,2,1,0,1,0,0,0,0,"734748,827600000426173","5690882,851999999955297",12.369151217000024,51.320727917000056,1,4,4,4,Süd
256562,14231125148210826750,14,7,13,000,2023,11,10,7,3,2,6,0,1,0,1,0,0,0,0,"741671,839200000278652","5693992,900100000202656",12.47042796900007,51.345744188000026,1,2,2,2,Ost
256570,14231124148310850070,14,7,13,000,2023,11,13,6,3,1,7,0,1,0,1,0,0,0,0,"730270,508799999952316","5691197,359500000253320",12.305196746000036,51.325381193000055,1,6,6,6,West
256571,14231124148210841520,14,7,13,000,2023,11,09,6,3,5,3,0,1,0,1,0,0,0,0,"733975,639000000432134","5692698,786000000312924",12.359266992000073,51.337347151000074,1,0,0,0,Mitte
256572,14231124144200985030,14,7,13,000,2023,11,15,6,2,2,6,0,1,1,1,0,0,0,0,"738059,463899999856949","5695531,448799999430776",12.419683034000059,51.36107818800008,1,1,1,1,Nordost
256573,14231124144200827380,14,7,13,000,2023,11,10,6,3,1,7,0,1,1,1,0,0,0,0,"732841,005800000391901","5690552,269600000232458",12.34160419400007,51.318544244000066,1,5,5,5,Südwest
256583,14231123148410849740,14,7,13,000,2023,11,14,5,3,5,2,0,0,1,0,0,0,0,1,"735014,454300000332296","5692058,371500000357628",12.373731479000071,51.33117020700007,1,0,0,0,Mitte
256584,14231123148410827110,14,7,13,000,2023,11,13,5,3,5,2,0,0,1,1,0,0,0,0,"736922,995500000193715","5691347,021500000730157",12.40060494000005,51.32399331000005,1,3,3,3,Südost
256585,14231123148210851290,14,7,13,000,2023,11,15,5,3,5,2,0,0,1,1,0,0,0,0,"740090,276999999769032","5693925,280799999833107",12.447715299000038,51.34580734700006,1,2,2,2,Ost
256586,14231123148110818190,14,7,13,000,2023,11,18,5,3,0,1,2,0,0,0,0,1,0,0,"736121,051500000059605","5699318,743200000375509",12.39440709400003,51.39588226400008,1,9,9,9,Nord
256588,14231123144200826210,14,7,13,000,2023,11,16,5,3,6,4,1,0,0,1,1,0,0,0,"735058,384800000116229","5690907,285499999299645",12.373601876000066,51.32081945400006,1,4,4,4,Süd
256590,14231220148410985500,14,7,13,000,2023,12,08,4,3,1,5,0,0,1,1,0,0,0,0,"734514,362800000235438","5693152,453199999406934",12.367286009000054,51.34119756800004,1,0,0,0,Mitte
256603,14231121148310827100,14,7,13,000,2023,11,08,3,3,0,1,0,1,1,0,0,0,0,0,"731012,160500000230968","5686896,011399999260902",12.313038514000027,51.28646745600008,1,5,5,5,Südwest
256604,14231121148110848820,14,7,13,000,2023,11,06,3,3,4,2,1,1,1,1,0,0,0,0,"737622,162100000306964","5695325,654300000518560",12.413275792000036,51.359414023000056,1,1,1,1,Nordost
256613,14231120148423827490,14,7,13,000,2023,11,16,2,3,6,2,2,0,0,1,1,0,0,0,"735009,682099999859929","5692120,390499999746680",12.373704001000021,51.331728886000064,1,0,0,0,Mitte
256614,14231120148410826790,14,7,13,000,2023,11,12,2,3,5,3,0,1,0,1,0,0,0,0,"734087,566999999806285","5693422,294999999925494",12.361346551000054,51.34379566200005,1,0,0,0,Mitte
256615,14231120148220826200,14,7,13,000,2023,11,16,2,3,5,3,0,1,1,0,0,0,0,0,"734626,927099999971688","5692462,982799999415874",12.36844512600004,51.33496215300005,1,0,0,0,Mitte
256616,14231120144200827390,14,7,13,000,2023,11,18,2,3,6,2,2,1,0,1,1,0,0,0,"734695,232599999755621","5693169,713899999856949",12.36988959100006,51.34127788300003,1,0,0,0,Mitte
256617,14231120144000826190,14,7,13,000,2023,11,17,2,3,5,3,2,0,1,1,0,0,0,0,"735952,165000000037253","5692246,042999999597669",12.38729177700003,51.33246660300006,1,0,0,0,Mitte
256618,14231120143263840901,14,7,13,000,2023,11,13,2,3,5,3,0,1,1,1,0,0,0,0,"735588,922500000335276","5692242,236700000241399",12.38208436900004,51.33258300300008,1,0,0,0,Mitte
256629,14231119143263817590,14,7,13,000,2023,11,14,1,3,0,5,0,1,1,1,0,0,0,0,"735746,626400000415742","5695651,771099999547005",12.386601893000034,51.36312250900005,1,9,9,9,Nord
