OBJECTID,UIDENTSTLAE,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND,index_right,FID,SBZ,Name
224752,14200109148210124850,14,7,13,000,2020,01,14,5,3,4,2,0,0,1,0,0,0,0,"735061,827700000260000","5690894,311200000300000",12.373642644000029,51.32070156900005,1,4,4,4,Süd
224753,14200122144200165660,14,7,13,000,2020,01,18,4,3,8,1,2,0,1,0,0,0,0,"734377,402800000270000","5695224,172000000300000",12.366687246000026,51.359850676000065,1,9,9,9,Nord
224755,14200109148110137470,14,7,13,000,2020,01,15,5,3,5,3,0,0,1,0,0,0,0,"738086,475800000130000","5697554,859099999100000",12.421425235000072,51.37922878000006,1,1,1,1,Nordost
224760,14200108144200172180,14,7,13,000,2020,01,12,4,3,5,3,0,0,1,0,0,0,0,"742296,096499999990000","5693692,018100000900000",12.47916990300007,51.34277796400005,0,2,2,2,Ost
224762,14200111148421135220,14,7,13,000,2020,01,15,7,3,6,7,0,0,1,1,0,0,0,"731180,451100000180000","5691459,372199999200000",12.318404107000049,51.327364239000076,1,7,7,7,Alt-West
224764,14200118148410156480,14,7,13,000,2020,01,00,7,3,6,4,2,0,1,1,0,0,0,"737183,103600000030000","5693752,620699999900000",12.40593272500007,51.34547781900005,1,2,2,2,Ost
224766,14200116144200275130,14,7,13,000,2020,01,06,5,2,6,2,2,0,1,1,0,0,0,"735737,991299999880000","5695373,680700000400000",12.386293786000067,51.36062989100003,0,9,9,9,Nord
224767,14200104144320308390,14,7,13,000,2020,01,16,7,3,2,6,0,0,1,0,0,0,0,"737179,323699999600000","5694095,773399999400000",12.40610715300005,51.348559557000044,0,2,2,2,Ost
224769,14200104144200188520,14,7,13,000,2020,01,14,7,2,5,3,0,1,1,0,0,0,0,"734269,316399999890000","5695509,256899999500000",12.365325272000064,51.36245429000007,1,9,9,9,Nord
224770,14200123144200163320,14,7,13,000,2020,01,06,5,3,5,3,1,1,1,0,0,0,0,"737297,207299999890000","5695370,057800000500000",12.408646538000028,51.35994837900006,1,1,1,1,Nordost
224772,14200110148410127800,14,7,13,000,2020,01,06,6,2,1,5,2,1,1,0,0,0,0,"736453,871100000110000","5693493,225500000600000",12.395308517000046,51.343453200000056,1,0,0,0,Mitte
224773,14200109144000124840,14,7,13,000,2020,01,17,5,3,5,3,2,1,1,0,0,0,0,"735073,263500000350000","5689669,959300000200000",12.372999532000051,51.30970655300007,1,4,4,4,Süd
224776,14200121144200159160,14,7,13,000,2020,01,17,3,3,5,3,2,1,1,0,0,0,0,"727481,511099999770000","5689006,618699999500000",12.263837587000069,51.30683604600006,0,6,6,6,West
224778,14200117148210156300,14,7,13,000,2020,01,05,6,3,3,6,2,1,1,0,0,0,0,"735444,637699999850000","5690564,274599999200000",12.378908633000037,51.31758078000007,0,4,4,4,Süd
224795,14200120144200163330,14,7,13,000,2020,01,16,2,3,8,1,1,0,1,0,0,0,1,"738856,192599999720000","5690978,505999999100000",12.428052544000025,51.31987729200006,0,3,3,3,Südost
224799,14200115144200186910,14,7,13,000,2020,01,19,4,2,6,4,2,1,0,1,0,0,0,"734691,309700000100000","5692819,600400000800000",12.369602669000074,51.33813673900005,0,0,0,0,Mitte
224800,14200103148410116470,14,7,13,000,2020,01,17,6,3,5,2,2,1,0,0,0,0,1,"736304,149299999700000","5692449,328900000100000",12.392470127000024,51.33414522100003,1,0,0,0,Mitte
224806,14200122148300160080,14,7,13,000,2020,01,15,4,3,1,5,0,1,1,0,0,0,0,"729410,342500000260000","5690328,202400000800000",12.292312983000045,51.31792614300008,1,6,6,6,West
224811,14200103144200175740,14,7,13,000,2020,01,15,6,2,5,3,0,0,1,0,0,0,1,"739614,746100000110000","5689038,163599999600000",12.437615071000039,51.302142236000066,0,3,3,3,Südost
224814,14200111144200127720,14,7,13,000,2020,01,10,7,3,1,5,0,1,1,0,0,0,0,"731959,830900000410000","5692899,405700000000000",12.330508727000051,51.33997386400006,0,7,7,7,Alt-West
224817,14200103144200134840,14,7,13,000,2020,01,00,6,1,6,4,2,0,0,1,0,0,1,"735001,989799999630000","5692237,922100000100000",12.37367129300003,51.33278707300008,0,0,0,0,Mitte
224824,14200121144000176050,14,7,13,000,2020,01,12,3,2,5,3,0,0,1,0,0,0,1,"735419,319000000130000","5692982,235700000100000",12.380143125000075,51.33929569700007,0,0,0,0,Mitte
224833,14200114148410137700,14,7,13,000,2020,01,18,3,3,0,7,2,1,0,0,0,0,0,"736587,660500000230000","5695453,648099999900000",12.398529154000073,51.36099455800007,0,9,9,9,Nord
224844,14200120143263192540,14,7,13,000,2020,01,07,2,3,1,5,2,1,1,0,0,0,0,"736883,004700000400000","5691962,196499999600000",12.400440863000028,51.329531864000046,0,3,3,3,Südost
224849,14200115144320202021,14,7,13,000,2020,01,02,4,3,6,4,2,1,0,1,0,0,0,"735055,703400000000000","5690986,241100000200000",12.37361551500004,51.321529299000076,0,4,4,4,Süd
224854,14200122148110159230,14,7,13,000,2020,01,07,4,3,4,2,1,0,1,0,0,0,0,"733177,872800000010000","5695859,428899999700000",12.349904887000037,51.36604659600005,0,8,8,8,Nordwest
224855,14200119148210179720,14,7,13,000,2020,01,11,1,3,9,1,0,0,1,0,0,0,0,"738100,136400000190000","5690459,822899999100000",12.416876110000032,51.315538435000065,1,3,3,3,Südost
224859,14200102148122094070,14,7,13,000,2020,01,13,5,3,5,3,0,1,0,0,0,0,1,"734061,092600000090000","5696696,205099999900000",12.363120908000042,51.37319466500003,0,9,9,9,Nord
224860,14200121144200244410,14,7,13,000,2020,01,18,3,2,5,3,2,1,0,0,0,0,1,"736736,979299999770000","5688797,888800000800000",12.39624836400003,51.301189212000054,0,4,4,4,Süd
224861,14200207148310211560,14,7,13,000,2020,02,15,6,3,2,6,0,0,1,0,0,0,1,"731181,391699999570000","5690686,374399999200000",12.317916301000025,51.320424726000056,0,7,7,7,Alt-West
224864,14200207148210204380,14,7,13,000,2020,02,08,6,3,0,7,0,1,1,0,0,0,0,"735624,873200000260000","5690868,059399999700000",12.381691120000028,51.32023306000008,0,4,4,4,Süd
224875,14200214144200230510,14,7,13,000,2020,02,00,6,2,8,1,2,0,1,0,0,0,0,"734463,794900000100000","5692609,646400000900000",12.366203968000036,51.33634594600005,1,0,0,0,Mitte
224877,14200211148223230680,14,7,13,000,2020,02,15,3,3,5,3,0,1,1,0,0,0,0,"738272,066800000150000","5690768,507799999800000",12.41954492800005,51.31823723400004,1,3,3,3,Südost
224886,14200206144200241200,14,7,13,000,2020,02,07,5,3,5,3,0,0,1,0,0,0,0,"731946,683000000190000","5693133,017000000900000",12.330472436000036,51.342076302000066,0,7,7,7,Alt-West
224900,14200213144200251970,14,7,13,000,2020,02,14,5,3,5,3,0,0,1,0,0,0,0,"737268,768099999990000","5693460,929899999900000",12.406966164000039,51.34282384100004,0,2,2,2,Ost
224901,14200205148321202140,14,7,13,000,2020,02,05,4,3,6,6,2,1,0,1,0,0,0,"727698,449199999680000","5690566,051300000400000",12.267940201000044,51.32074894300007,1,6,6,6,West
224905,14200205148110198830,14,7,13,000,2020,02,06,4,3,5,3,2,1,1,0,0,0,0,"731843,623200000260000","5696460,811300000200000",12.331163661000062,51.37199111000007,0,8,8,8,Nordwest
224906,14200205144200221970,14,7,13,000,2020,02,22,4,3,6,4,2,0,1,1,0,0,0,"734270,209599999710000","5695508,968599999300000",12.365337889000045,51.36245133300008,0,9,9,9,Nord
224909,14200205144200201940,14,7,13,000,2020,02,17,4,3,0,7,2,1,1,0,0,0,0,"734204,656200000080000","5692893,192299999300000",12.362676816000032,51.33899796600008,0,0,0,0,Mitte
224910,14200205143263390780,14,7,13,000,2020,02,00,4,3,6,4,2,1,0,1,0,0,0,"731047,944899999540000","5686358,385900000100000",12.313203144000056,51.28162667400005,0,5,5,5,Südwest
224927,14200204148110195790,14,7,13,000,2020,02,07,3,3,8,1,2,0,1,0,0,0,0,"732208,326100000180000","5699076,818600000800000",12.33810408200003,51.395325093000054,1,8,8,8,Nordwest
224945,14200211144200219491,14,7,13,000,2020,02,15,3,1,9,7,0,0,1,0,0,0,0,"731632,911000000310000","5696843,381899999500000",12.328390897000077,51.375511317000075,1,8,8,8,Nordwest
224950,14200203148410239510,14,7,13,000,2020,02,06,2,3,5,3,2,1,1,0,0,0,0,"733851,122800000010000","5693445,772399999200000",12.35797304700003,51.344103706000055,1,0,0,0,Mitte
224951,14200203148310235220,14,7,13,000,2020,02,15,2,3,6,4,0,1,0,1,0,0,0,"730447,453300000170000","5693918,278599999800000",12.309492262000049,51.34973517100008,0,7,7,7,Alt-West
224956,14200208148310205600,14,7,13,000,2020,02,11,7,3,5,3,0,1,1,0,0,0,0,"730511,038599999620000","5689715,143400000400000",12.307684892000054,51.311977924000075,0,6,6,6,West
224959,14200208148210238270,14,7,13,000,2020,02,20,7,3,1,5,2,1,1,0,0,0,0,"737800,168899999930000","5691348,549900000900000",12.413172276000068,51.32364109700006,0,3,3,3,Südost
224967,14200126144200182690,14,7,13,000,2020,01,12,1,3,5,2,0,0,1,0,0,0,1,"734312,923999999650000","5695798,171000000100000",12.366140873000063,51.36502971900006,0,9,9,9,Nord
224973,14200202148410214060,14,7,13,000,2020,02,18,1,3,3,5,2,1,1,0,0,0,0,"737688,256000000050000","5693739,528999999200000",12.413164134000056,51.34514934500004,1,2,2,2,Ost
224974,14200202144200188510,14,7,13,000,2020,02,13,1,3,5,2,0,0,1,0,0,0,0,"737776,408300000240000","5693737,349600000300000",12.414426118000051,51.34509292300004,1,2,2,2,Ost
224975,14200210148410223110,14,7,13,000,2020,02,09,2,3,5,2,0,1,1,0,0,0,0,"735771,757500000300000","5693208,454399999200000",12.385343702000057,51.34118028200004,0,0,0,0,Mitte
