OID_,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstSonstige,ULICHTVERH,IstGkfz,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,UIDENTSTLAE,IstStrassenzustand,index_right,FID,SBZ,Name
227592,14,7,13,000,2021,12,15,4,3,0,1,1,0,0,0,0,0,0,"734999,437741337344050","5696209,313141001388431",12.37625666300005,51.36843671300005,14211208148110963450,1,9,9,9,Nord
227615,14,7,13,000,2021,10,08,7,3,3,2,0,1,0,0,0,0,0,"743738,571035346016288","5694415,341004803776741",12.50033640600003,51.34865342100005,14211030148210890610,0,2,2,2,Ost
227617,14,7,13,000,2021,11,17,3,3,5,3,1,1,0,0,0,2,0,"735836,721001503989100","5694978,974985461682081",12.387447703000078,51.35704595800007,14211130144200963210,0,9,9,9,Nord
227624,14,7,13,000,2021,11,21,5,3,7,7,0,0,0,1,0,2,0,"732587,297894488088787","5700105,499156316742301",12.344216103000065,51.404403916000035,14211118148121047630,0,8,8,8,Nordwest
227627,14,7,13,000,2021,10,00,7,3,5,2,0,1,0,0,0,2,0,"737773,612608237192035","5693736,542476624250412",12.414385510000045,51.34508684700006,14211016144200793290,0,2,2,2,Ost
227640,14,7,13,000,2021,11,13,3,3,1,6,0,1,0,0,0,0,0,"738968,369695940986276","5693675,076970001682639",12.431467799000075,51.34403423300006,14211116148210903780,0,2,2,2,Ost
227644,14,7,13,000,2021,10,16,3,3,1,5,0,0,0,0,1,0,0,"736932,623510835692286","5697651,996045641601086",12.404940074000024,51.38058329300003,14211026144200813350,0,1,1,1,Nordost
227654,14,7,13,000,2021,10,14,4,3,0,1,1,1,0,0,0,0,0,"739314,013251628726721","5693854,879325801506639",12.43654233500007,51.34550272200005,14211013144000783560,0,2,2,2,Ost
227657,14,7,13,000,2021,12,07,3,3,2,2,1,1,0,0,0,1,0,"734946,439450773410499","5695783,568741025403142",12.375215378000064,51.364637017000064,14211221148110001850,0,9,9,9,Nord
227666,14,7,13,000,2021,10,12,4,3,1,6,1,0,0,0,1,0,0,"735245,696771522983909","5697987,463619755581021",12.380964993000077,51.38429592400007,14211006144200767910,0,9,9,9,Nord
227671,14,7,13,000,2021,11,13,5,3,5,3,1,1,0,0,0,0,0,"734834,100410121493042","5692993,506049165502191",12.371763645000044,51.33963883800004,14211111148410854990,0,0,0,0,Mitte
227677,14,7,13,000,2021,10,12,6,2,0,7,1,0,0,0,0,0,0,"737735,916432909667492","5693918,553029514849186",12.41396676100004,51.34673633700004,14211029144200922370,0,2,2,2,Ost
227678,14,7,13,000,2021,09,09,3,3,1,7,1,0,0,0,0,0,0,"731492,994400939904153","5691537,961747771129012",12.322933358000057,51.32794263300008,14210928148310725630,1,5,5,5,Südwest
227682,14,7,13,000,2021,10,09,6,3,5,3,1,1,0,0,0,0,0,"737309,082618826068938","5697090,787199594080448",12.409965114000045,51.37538868900003,14211008144200767890,0,1,1,1,Nordost
227686,14,7,13,000,2021,11,19,5,3,5,2,1,1,0,0,0,2,0,"735095,974662303924561","5694521,808154338970780",12.376525816000026,51.35324919800007,14211118662221880410,0,0,0,0,Mitte
227687,14,7,13,000,2021,10,17,4,3,6,4,0,1,1,0,0,0,0,"742276,988825660198927","5694229,360885277390480",12.479261695000048,51.34760896000006,14211013144310783850,0,2,2,2,Ost
227689,14,7,13,000,2021,11,15,6,3,6,7,0,1,1,0,0,0,0,"727884,464087726548314","5690279,624595511704683",12.270422178000047,51.31810312600004,14211126148310912660,0,6,6,6,West
227707,14,7,13,000,2021,12,16,3,3,1,1,0,1,0,0,0,2,0,"729256,566176856867969","5694723,568286970257759",12.292938914000047,51.35744588000006,14211214148310963470,1,7,7,7,Alt-West
227717,14,7,13,000,2021,11,07,5,3,3,2,0,1,0,1,0,0,0,"737532,980746910907328","5691927,161816997453570",12.409730166000031,51.32894636000003,14211111148410934930,0,3,3,3,Südost
227722,14,7,13,000,2021,10,18,6,3,1,7,0,1,0,0,0,2,0,"734261,641141991131008","5695314,094685262069106",12.365086695000059,51.36070559600006,14211029144200834350,0,9,9,9,Nord
227725,14,7,13,000,2021,10,16,1,3,0,1,1,0,0,0,0,0,0,"738618,195070520043373","5693597,127814413979650",12.426396891000024,51.34348164000005,14211017148410793851,0,2,2,2,Ost
227727,14,7,13,000,2021,09,14,5,3,5,3,1,1,0,0,0,0,0,"738676,296645358204842","5694191,606451241299510",12.42762810000005,51.34879321300008,14210930143263738710,0,2,2,2,Ost
227728,14,7,13,000,2021,10,07,3,3,6,7,1,0,1,0,0,0,0,"734980,026275395415723","5696055,829160736873746",12.375876874000028,51.36706702200007,14211005148121047620,0,9,9,9,Nord
227729,14,7,13,000,2021,12,17,2,3,2,2,0,1,0,0,0,2,0,"735397,447651930153370","5690908,498415183275938",12.378459896000038,51.32069018000004,14211206148410934920,0,4,4,4,Süd
227731,14,7,13,000,2021,12,07,6,3,5,2,0,1,0,0,0,0,0,"738795,039024537429214","5696080,065396390855312",12.430597452000029,51.365693822000026,14211217148110963240,0,1,1,1,Nordost
227732,14,7,13,000,2021,11,14,2,3,5,2,1,1,0,0,0,0,0,"735043,309446471743286","5690881,759576901793480",12.37336908800006,51.32059655000006,14211108144200848040,1,4,4,4,Süd
227740,14,7,13,000,2021,11,19,3,3,0,1,0,1,0,0,0,2,0,"735638,678295533172786","5695930,320180680602789",12.385238625000056,51.36566761000006,14211130144200963200,1,9,9,9,Nord
227744,14,7,13,000,2021,10,14,1,3,6,4,1,0,1,0,0,0,0,"732924,157001467421651","5690279,392986902967095",12.342617130000065,51.31606068600007,14211010148310935270,0,5,5,5,Südwest
227755,14,7,13,000,2021,10,12,3,3,5,3,1,1,0,0,0,0,0,"728909,458006734028459","5689666,219489183276892",12.284712525000032,51.31218507400007,14211026148323813830,0,6,6,6,West
227759,14,7,13,000,2021,12,19,4,3,5,3,1,1,0,0,0,2,0,"737042,687382953241467","5691090,505952220410109",12.402149101000077,51.321640939000076,14211208148410937350,1,0,0,0,Mitte
227767,14,7,13,000,2021,10,17,5,3,6,4,0,1,1,0,0,1,0,"734279,555235636420548","5695540,901313778012991",12.365492924000023,51.362734121000074,14211021148110807680,1,9,9,9,Nord
227768,14,7,13,000,2021,10,20,1,3,0,7,1,1,0,0,0,2,0,"733919,846767157316208","5693475,326541865244508",12.358977480000021,51.34434072800008,14211031148410825040,0,0,0,0,Mitte
227770,14,7,13,000,2021,10,14,3,2,9,1,0,1,0,0,0,0,0,"742237,153809367679060","5686192,938293932005763",12.473234071000036,51.275495352000064,14211005144200766820,0,3,3,3,Südost
227778,14,7,13,000,2021,10,16,6,3,6,4,1,0,1,0,0,0,0,"735370,617348680272698","5695438,748495124280453",12.381069513000057,51.36136624900007,14211029148110824740,0,9,9,9,Nord
227780,14,7,13,000,2021,11,06,6,3,1,6,0,1,0,0,0,2,0,"741269,253556473180652","5693987,549180801957846",12.464654537000058,51.345867147000035,14211126144200903360,0,2,2,2,Ost
227781,14,7,13,000,2021,10,04,1,2,9,1,0,1,0,0,0,2,0,"738545,246001549996436","5693716,785984130576253",12.425431562000028,51.34458628800007,14211017144200793300,0,2,2,2,Ost
227783,14,7,13,000,2021,11,11,4,3,1,6,0,1,0,0,0,0,0,"731643,487231471575797","5696561,353763213381171",12.32835880500005,51.37297531000007,14211103148110854900,0,8,8,8,Nordwest
227785,14,7,13,000,2021,10,19,6,3,5,2,0,1,0,0,0,2,0,"731863,586326246149838","5689254,543273530900478",12.326758737000034,51.30729384000006,14211008144200768260,0,5,5,5,Südwest
227787,14,7,13,000,2021,12,11,2,3,5,3,1,0,0,0,1,0,0,"735052,289629364386201","5690656,404311072081327",12.373349183000073,51.31856996000005,14211220148222993640,0,4,4,4,Süd
227788,14,7,13,000,2021,10,06,5,3,2,2,0,1,0,0,0,1,0,"736168,554925626143813","5692946,822194090113044",12.39085695600005,51.33866715000005,14211014148410793370,1,0,0,0,Mitte
