OBJECTID,UIDENTSTLAE,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrassenzustand,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,index_right,FID,SBZ,Name
250779,14221210148110929480,14,7,13,000,2022,12,09,7,3,5,3,0,2,0,1,0,0,0,1,"738564,472911217948422","5696745,050918419845402",12.4277375880001,51.3717594820001,1,1,1,Nordost
250781,14221115148210886180,14,7,13,000,2022,11,19,3,3,1,5,2,0,1,1,0,0,0,0,"735053,054842830053531","5691105,152985789813101",12.373655968,51.322597794,4,4,4,Süd
250785,14221108144200808440,14,7,13,000,2022,11,12,3,2,5,2,0,0,1,1,0,0,0,0,"734791,066779859946109","5692624,353742759674788",12.3709035900001,51.336342948,0,0,0,Mitte
250786,14221124148410887470,14,7,13,000,2022,11,13,5,3,3,5,0,1,1,1,0,0,0,0,"737168,686255138018169","5691666,707741879858077",12.404337409,51.3267604910001,3,3,3,Südost
250792,14221019149110763200,14,7,13,000,2022,10,15,4,3,1,1,0,0,0,1,0,0,0,1,"741974,996001629042439","5685918,735982459969819",12.469297026,51.2731455850001,3,3,3,Südost
250794,14221030148210806530,14,7,13,000,2022,10,19,1,3,6,7,2,0,0,1,1,0,0,0,"737771,747191486996599","5692907,963229469954967",12.4138055870001,51.337650302,2,2,2,Ost
250797,14221230148410984020,14,7,13,000,2022,12,15,6,3,5,3,0,0,1,1,0,0,0,0,"734826,464173826039769","5694106,137085369788110",12.372387981,51.3496293950001,0,0,0,Mitte
250810,14221025148310777390,14,7,13,000,2022,10,07,3,3,0,1,0,0,1,0,0,0,0,0,"732273,697117789997719","5691219,269665029831231",12.3339118380001,51.3247635880001,5,5,5,Südwest
250811,14221101148415788470,14,7,13,000,2022,11,10,3,3,5,2,0,1,1,1,0,0,0,0,"736054,999826960964128","5691708,897904120385647",12.3884094900001,51.3276023860001,0,0,0,Mitte
250826,14221104148310808590,14,7,13,000,2022,11,22,6,3,5,3,2,0,0,1,0,0,0,1,"729323,799001401988789","5690829,584988390095532",12.291395644,51.322462015,6,6,6,West
250828,14221109148410852470,14,7,13,000,2022,11,08,4,2,5,3,0,1,1,1,0,0,0,0,"735444,794354488956742","5691684,432154109701514",12.3796506210001,51.3276356420001,0,0,0,Mitte
250847,14221203148410939200,14,7,13,000,2022,12,12,7,3,9,1,0,1,1,1,0,0,0,0,"737642,606042467057705","5692162,346651210449636",12.4114576470001,51.3310116040001,3,3,3,Südost
250848,14221209148210931100,14,7,13,000,2022,12,20,6,3,2,6,2,1,0,1,0,1,0,0,"734968,065241885022260","5690897,332812850363553",12.3723014450001,51.3207674170001,4,4,4,Süd
250850,14221112148320852441,14,7,13,000,2022,11,07,7,3,8,6,0,0,0,1,0,0,0,0,"730371,446863895980641","5688690,383804559707642",12.3050238230001,51.3028351190001,5,5,5,Südwest
250854,14221117148310831360,14,7,13,000,2022,11,12,5,3,5,3,0,1,1,1,0,0,0,0,"732894,095425317995250","5698349,215712039731443",12.3474670890001,51.388512737,8,8,8,Nordwest
250857,14221129148413929510,14,7,13,000,2022,11,11,3,3,5,3,0,1,0,1,0,1,0,0,"736435,256148791988380","5693839,676520580425858",12.395271775,51.3465707440001,2,2,2,Ost
250860,14221111144200967710,14,7,13,000,2022,11,07,6,2,5,3,0,0,1,1,0,0,0,0,"735759,458001506980509","5693296,883985539898276",12.38522597,51.3419791490001,0,0,0,Mitte
250871,14221108148310814500,14,7,13,000,2022,11,07,3,3,5,2,0,1,1,1,0,0,0,0,"729937,527308151009493","5694332,771232229657471",12.302449988,51.3536625740001,7,7,7,Alt-West
250876,14221017148110805990,14,7,13,000,2022,10,15,2,3,3,5,0,0,0,1,0,0,0,0,"736058,844315947964787","5695003,230090839788318",12.3906482740001,51.3571714560001,9,9,9,Nord
250881,14221207148210910190,14,7,13,000,2022,12,10,4,3,3,5,0,1,1,1,0,0,0,0,"735296,963214538991451","5690777,767903699539602",12.3769341500001,51.3195582530001,4,4,4,Süd
250882,14221213148410983430,14,7,13,000,2022,12,22,3,3,5,2,2,0,1,1,0,0,0,0,"735756,295746790943667","5692866,295609720051289",12.3848956300001,51.3381153830001,0,0,0,Mitte
250884,14221224144200042480,14,7,13,000,2022,12,21,7,3,5,2,2,0,1,1,0,0,0,0,"733226,864072698983364","5693908,202456610277295",12.3493284250001,51.348511171,0,0,0,Mitte
250888,14221111148211888750,14,7,13,000,2022,11,14,6,3,5,3,0,0,1,0,0,0,0,1,"739493,469949733000249","5691858,074350969865918",12.437771947,51.3275042820001,2,2,2,Ost
250889,14221124148110864770,14,7,13,000,2022,11,14,5,3,1,5,0,0,1,1,0,0,0,0,"733887,192929362994619","5695642,460971170105040",12.3599337250001,51.363807416,9,9,9,Nord
250896,14221114148410842890,14,7,13,000,2022,11,10,2,3,3,2,0,0,1,1,0,0,0,0,"733427,761700280942023","5693754,497270050458610",12.3521073970001,51.3470489690001,0,0,0,Mitte
250901,14221123148410887860,14,7,13,000,2022,11,18,4,3,5,2,2,1,1,1,0,0,0,0,"733601,146405064035207","5693001,386607539840043",12.3540986310001,51.340217416,0,0,0,Mitte
250902,14221025144200808350,14,7,13,000,2022,10,17,3,3,5,2,2,0,1,1,0,0,0,0,"734745,200014436035417","5690666,103775310330093",12.3689565600001,51.3187837840001,4,4,4,Süd
250906,14221209148210930230,14,7,13,000,2022,12,16,6,3,2,2,2,0,0,1,0,0,0,0,"735179,075435923994519","5689049,747266869992018",12.37410622,51.3040955640001,4,4,4,Süd
250910,14221215148210930730,14,7,13,000,2022,12,12,5,3,2,6,0,1,0,1,0,0,0,1,"737474,208099934039637","5693287,640418349765241",12.4097949390001,51.3411826240001,2,2,2,Ost
250911,14221023144200766570,14,7,13,000,2022,10,22,1,2,0,1,2,1,0,0,0,1,0,0,"737183,730247883009724","5694052,334542590193450",12.406141373,51.348167808,2,2,2,Ost
250924,14221022148410766610,14,7,13,000,2022,10,13,7,3,3,6,0,1,1,1,0,0,0,0,"737174,914913435000926","5693758,689729579724371",12.4058194020001,51.3455357110001,2,2,2,Ost
250931,14221125148410930740,14,7,13,000,2022,11,15,6,3,5,3,0,1,0,1,0,0,0,0,"738085,485357998986728","5697555,484188649803400",12.4214114480001,51.3792348060001,1,1,1,Nordost
250932,14221027148210807350,14,7,13,000,2022,10,06,5,3,2,6,0,1,0,1,0,0,0,0,"742287,431915392982773","5694030,733759259805083",12.4792762000001,51.3458217570001,2,2,2,Ost
250935,14221202144200910580,14,7,13,000,2022,12,06,6,3,4,1,2,2,0,1,0,0,0,0,"740791,606772386003286","5688594,088161019608378",12.4541664400001,51.297659917,3,3,3,Südost
250937,14221018148410745860,14,7,13,000,2022,10,19,3,2,6,3,2,1,0,1,1,0,0,0,"737250,320920338039286","5692225,256517159752548",12.405878807,51.3317400400001,3,3,3,Südost
250944,14221102148210830540,14,7,13,000,2022,11,11,4,3,3,6,0,0,1,1,0,0,0,0,"735391,463805490988307","5691169,329428070224822",12.37854638,51.3230339680001,4,4,4,Süd
250948,14221017148410887870,14,7,13,000,2022,10,18,2,3,2,6,1,0,0,0,0,0,0,1,"734631,628819767036475","5692462,482357960194349",12.3685121720001,51.3349557220001,0,0,0,Mitte
250950,14221121144200843830,14,7,13,000,2022,11,06,2,2,6,2,2,1,0,1,1,0,0,0,"733053,450985171948560","5695904,646065999753773",12.348150316,51.3665035450001,8,8,8,Nordwest
250953,14221203145400887800,14,7,13,000,2022,12,17,7,3,2,6,2,1,0,1,0,0,0,0,"734677,138069165055640","5693334,064885890111327",12.369738565,51.3427606330001,0,0,0,Mitte
250955,14221018148410843850,14,7,13,000,2022,10,09,3,3,0,7,0,1,0,0,0,0,0,1,"735333,915279277018271","5692624,618825599551201",12.378682929,51.336120959,0,0,0,Mitte
250956,14221114148210885790,14,7,13,000,2022,11,06,2,3,5,3,2,1,1,1,0,0,0,0,"739685,499517680029385","5692518,777954460121691",12.440967447,51.3333537300001,2,2,2,Ost
250958,14221102144200805910,14,7,13,000,2022,11,19,4,3,5,3,2,0,1,1,0,0,0,0,"738016,211817126953974","5692045,186356579884887",12.4167324320001,51.3298037700001,2,2,2,Ost
250959,14221014143263763450,14,7,13,000,2022,10,23,6,3,0,7,2,0,1,1,0,0,0,0,"735010,567491921945475","5695133,125393589958549",12.3757051960001,51.3587719060001,9,9,9,Nord
250969,14221223144200950330,14,7,13,000,2022,12,16,6,3,2,6,0,1,0,1,0,0,0,0,"741866,978340783971362","5694573,797983580268919",12.4736193140001,51.3508750130001,2,2,2,Ost
250970,14221214144200917150,14,7,13,000,2022,12,12,4,2,5,3,0,0,0,0,0,0,0,1,"728561,483597393962555","5690483,668465550057590",12.2802519590001,51.3196633680001,6,6,6,West
250971,14221023662221765860,14,7,13,000,2022,10,01,1,3,0,1,2,1,1,0,0,0,0,0,"732580,068190888967365","5692080,097432009875774",12.3388630540001,51.3323658360001,5,5,5,Südwest
