UNFALL_ID,FID_left,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrasse,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,index_right,FID_right,SBZ,Name,UIDENTSTLA,LICHT,STRZUSTAND,FID,OBJECTID_1,IstSonstige,UIDENTSTLAE,OID_,IstStrassenzustand,PLST
25,44115,44116,14,7,13,000,2016,01,12,4,3,1,2,0,1,0,1,0,0,0,0,"734227,547999999950000","5693318,416000000200000",12.363284543,51.342805546,0,0.0,0,Mitte,,,,,,,,,,
26,44122,44123,14,7,13,000,2016,02,16,4,3,2,6,0,0,0,1,0,0,0,0,"736335,881000000050000","5694335,788999999900000",12.394176774,51.351065255,0,0.0,0,Mitte,,,,,,,,,,
27,44123,44124,14,7,13,000,2016,02,08,3,3,2,6,0,0,0,1,0,0,0,0,"736679,682000000030000","5695547,134999999800000",12.399910724,51.361795384,1,1.0,1,Nordost,,,,,,,,,,
28,44139,44140,14,7,13,000,2016,01,19,3,2,2,6,1,1,0,1,0,0,0,1,"730937,727100000020000","5701178,213999999700000",12.321239342,51.414707284,8,8.0,8,Nordwest,,,,,,,,,,
29,44204,44205,14,7,13,000,2016,01,07,6,2,5,2,0,0,0,1,0,0,0,0,"738578,158500000020000","5694523,489299999500000",12.426443886,51.351813345,1,1.0,1,Nordost,,,,,,,,,,
30,44223,44224,14,7,13,000,2016,01,12,3,3,4,2,0,0,0,1,0,0,0,0,"736677,625600000030000","5695554,083300000100000",12.399885862,51.361858609,1,1.0,1,Nordost,,,,,,,,,,
31,44242,44243,14,7,13,000,2016,02,10,4,3,5,3,0,0,0,1,0,0,1,0,"727211,378999999960000","5693381,212000000300000",12.262757196,51.346216471,7,7.0,7,Alt-West,,,,,,,,,,
32,44261,44262,14,7,13,000,2016,01,08,3,3,5,3,0,1,0,1,0,0,0,0,"731587,845199999980000","5692691,772800000400000",12.32504237,51.3382616,7,7.0,7,Alt-West,,,,,,,,,,
33,44280,44281,14,7,30,250,2016,01,04,2,3,5,3,2,1,0,0,0,0,0,1,"735027,419499999960000","5702117,338700000200000",12.38056887,51.421457022,9,9.0,9,Nord,,,,,,,,,,
34,44282,44283,14,7,30,270,2016,02,05,7,3,8,1,2,1,0,1,0,0,0,0,"728369,195700000040000","5701225,114099999900000",12.284395694,51.416168438,8,8.0,8,Nordwest,,,,,,,,,,
35,44295,44296,14,7,13,000,2016,02,22,5,3,3,6,2,1,0,1,0,0,0,0,"734457,263900000020000","5693406,380400000100000",12.36663485,51.343500476,0,0.0,0,Mitte,,,,,,,,,,
36,44300,44301,14,7,13,000,2016,02,06,2,2,3,6,2,1,0,1,0,0,1,0,"730778,103400000020000","5682992,376699999900000",12.307168702,51.251519066,5,5.0,5,Südwest,,,,,,,,,,
37,44304,44305,14,7,13,000,2016,01,12,5,3,9,1,0,0,0,1,0,0,0,0,"736588,064299999970000","5702649,354899999700000",12.403329438,51.425583344,9,9.0,9,Nord,,,,,,,,,,
38,44317,44318,14,7,13,000,2016,01,17,2,3,2,6,2,1,0,1,0,0,0,0,"741636,775799999940000","5684869,391200000400000",12.463748354,51.263870523,3,3.0,3,Südost,,,,,,,,,,
39,44345,44346,14,7,13,000,2016,01,16,2,3,2,6,2,0,0,1,0,0,0,0,"739481,847799999990000","5694456,704599999800000",12.439352618,51.350833886,2,2.0,2,Ost,,,,,,,,,,
