OBJECTID_1,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,index_right,FID,SBZ,Name
72654,14,7,13,000,2018,12,18,7,2,4,6,2,0,1,0,0,0,0,0,"737008,044600000020000","5694305,731800000200000",12.403791885000032,51.35051559600004,1,1,1,Nordost
72694,14,7,13,000,2018,12,13,3,3,2,6,0,0,1,0,0,0,0,0,"736995,723800000040000","5691379,936800000300000",12.401668732000076,51.32425847400003,3,3,3,Südost
72700,14,7,13,000,2018,12,17,7,3,2,2,2,0,1,0,0,0,0,1,"738287,958400000000000","5694495,079099999700000",12.422265019000065,51.351680069000054,1,1,1,Nordost
72746,14,7,13,000,2018,12,19,2,3,6,4,2,0,1,1,0,0,0,1,"735453,176300000050000","5693496,935300000000000",12.380968625000037,51.343901781000056,0,0,0,Mitte
72751,14,7,13,000,2018,12,18,2,2,6,4,2,0,1,1,0,0,0,1,"732383,383999999960000","5692413,275399999700000",12.336261955000055,51.335437074000026,7,7,7,Alt-West
72766,14,7,13,000,2018,12,19,7,3,5,2,1,1,1,0,0,0,0,1,"731916,167999999950000","5692462,264000000400000",12.329598331000057,51.336067548000074,7,7,7,Alt-West
72789,14,7,13,000,2018,12,15,3,2,4,2,0,0,1,0,0,0,0,0,"735991,022000000000000","5697125,441999999800000",12.391084242000034,51.376248978000035,9,9,9,Nord
72856,14,7,13,000,2018,12,05,3,3,5,2,2,1,1,0,0,0,0,0,"736381,005699999980000","5702029,291000000200000",12.39994304000004,51.42010402100004,9,9,9,Nord
72884,14,7,13,000,2018,12,18,5,3,5,3,1,0,1,0,0,0,1,1,"745898,724300000000000","5692187,882700000000000",12.529757859000028,51.32773197100005,2,2,2,Ost
72885,14,7,13,000,2018,12,14,1,3,5,3,0,1,1,0,0,0,0,0,"734276,008099999980000","5693338,682300000500000",12.363992429000064,51.34296750100003,0,0,0,Mitte
72918,14,7,13,000,2018,12,16,7,3,5,2,2,1,1,0,0,0,0,0,"732387,854300000010000","5692412,085699999700000",12.336325241000054,51.335424568000064,7,7,7,Alt-West
72922,14,7,13,000,2018,12,10,7,2,3,7,0,0,1,0,0,0,0,0,"732994,410299999990000","5696870,680300000100000",12.347936747000062,51.37519943400008,8,8,8,Nordwest
72931,14,7,13,000,2018,12,09,7,3,5,3,0,1,1,0,0,0,0,0,"733825,705100000020000","5693215,633500000500000",12.357457620000048,51.34204831300008,0,0,0,Mitte
72943,14,7,13,000,2018,12,15,5,2,2,6,0,0,1,0,0,0,0,0,"728853,637499999950000","5682494,392599999900000",12.279320445000053,51.24782382700005,5,5,5,Südwest
72956,14,7,13,000,2018,12,00,6,3,8,1,2,0,1,0,0,0,0,0,"728026,240499999960000","5691271,640499999700000",12.273087774000032,51.32695197900006,6,6,6,West
72986,14,7,13,000,2018,12,17,4,3,5,3,2,0,1,0,0,0,0,1,"740382,721299999980000","5694443,733900000300000",12.452256712000064,51.35033721800005,2,2,2,Ost
73007,14,7,13,000,2018,12,16,6,3,3,6,1,0,1,0,0,0,0,1,"743043,675399999950000","5695346,611800000100000",12.491012850000061,51.357309325000074,2,2,2,Ost
73009,14,7,13,000,2018,12,01,1,2,6,4,2,0,1,1,0,0,0,1,"735388,837500000020000","5693535,252000000300000",12.380071814000075,51.34427236400006,0,0,0,Mitte
73011,14,7,13,000,2018,12,10,6,2,2,6,0,0,1,0,0,1,0,1,"736378,352100000020000","5702016,188000000100000",12.399896209000076,51.41998751500006,9,9,9,Nord
73014,14,7,13,000,2018,12,17,6,3,6,2,2,0,1,1,0,0,0,1,"738869,178199999970000","5694486,644200000000000",12.430590725000059,51.35136040800006,2,2,2,Ost
73132,14,7,13,000,2018,12,07,6,3,5,3,1,1,0,0,0,0,1,0,"737345,051199999990000","5690243,864699999800000",12.405917076000037,51.31391535700004,4,4,4,Süd
73157,14,7,13,000,2018,12,01,7,3,2,6,2,0,1,0,0,0,1,1,"734710,041500000050000","5700665,980700000200000",12.37505174200004,51.40856074800007,9,9,9,Nord
165357,14,7,13,000,2018,01,15,5,3,3,2,0,1,1,0,0,0,0,0,"733796,402800000040000","5694155,603799999700000",12.357654896000042,51.35049802100008,0,0,0,Mitte
165359,14,7,13,000,2018,01,18,5,3,2,6,2,0,1,0,0,0,1,1,"731236,849099999990000","5696756,857699999600000",12.322653783000021,51.374896008000064,8,8,8,Nordwest
165360,14,7,13,000,2018,01,12,5,3,2,2,0,0,1,0,0,0,0,0,"729937,730199999990000","5694332,514399999800000",12.302452731000074,51.35366018600007,7,7,7,Alt-West
165362,14,7,13,000,2018,01,11,5,3,6,4,0,0,1,1,0,0,0,0,"738348,293900000050000","5692368,118400000000000",12.421706361000076,51.332563347000075,2,2,2,Ost
165364,14,7,13,000,2018,01,07,5,3,6,2,0,0,1,1,0,0,0,0,"738222,766599999970000","5690686,429700000200000",12.418783924000024,51.31752114100004,3,3,3,Südost
165384,14,7,13,000,2018,01,13,4,2,6,4,0,0,1,1,0,0,0,0,"735098,723000000000000","5694285,865700000000000",12.37640936400004,51.35113016400004,0,0,0,Mitte
165390,14,7,13,000,2018,01,11,4,3,3,2,0,1,0,0,0,0,1,0,"735098,969399999940000","5694133,382799999800000",12.376312184000028,51.34976132400004,0,0,0,Mitte
165392,14,7,13,000,2018,01,09,4,3,2,2,0,1,0,0,0,0,0,0,"731984,848299999950000","5690223,341400000300000",12.329125437000073,51.31594117700007,5,5,5,Südwest
165394,14,7,13,000,2018,01,10,4,3,1,5,0,1,1,0,0,0,0,0,"735395,922700000000000","5690990,044599999700000",12.378491887000052,51.32142279800007,4,4,4,Süd
165397,14,7,13,000,2018,01,13,4,2,6,7,0,0,0,1,0,0,1,0,"738795,525600000050000","5696015,249699999600000",12.430560909000064,51.36511184400007,1,1,1,Nordost
165399,14,7,13,000,2018,01,12,4,3,4,2,0,0,1,0,0,0,0,0,"736581,385400000030000","5691294,536299999800000",12.395676159000061,51.32366433900006,0,0,0,Mitte
165401,14,7,13,000,2018,01,10,4,2,6,4,0,0,1,1,0,0,0,0,"736200,589000000040000","5691889,265599999600000",12.390614932000062,51.32916098000004,0,0,0,Mitte
165433,14,7,13,000,2018,01,00,2,3,6,4,2,0,1,1,0,0,0,0,"735050,661199999970000","5691139,093700000100000",12.373644054000067,51.322903448000034,4,4,4,Süd
165437,14,7,13,000,2018,01,08,3,3,1,5,1,1,1,0,0,0,0,0,"737324,056499999950000","5693044,909000000000000",12.407481329000063,51.339066539000044,2,2,2,Ost
165456,14,7,13,000,2018,01,16,2,3,2,2,2,0,1,0,0,0,0,0,"735500,739399999960000","5692056,258100000200000",12.380697878000035,51.33095011700004,0,0,0,Mitte
165458,14,7,13,000,2018,01,15,2,3,6,7,0,0,1,1,0,0,0,0,"735891,569600000050000","5693496,482699999600000",12.387251594000077,51.34371600400004,0,0,0,Mitte
165460,14,7,13,000,2018,01,07,2,3,5,3,1,1,0,0,0,1,0,0,"736341,275999999950000","5692763,110999999600000",12.39321029100006,51.33694636600006,0,0,0,Mitte
165462,14,7,13,000,2018,01,15,2,3,3,2,0,1,1,0,0,0,0,0,"735465,992100000030000","5691975,270300000000000",12.380146486000058,51.330237529000044,0,0,0,Mitte
165466,14,7,13,000,2018,01,07,2,3,5,3,2,0,1,0,1,0,0,0,"741931,726799999950000","5691566,807099999900000",12.472505191000039,51.32385838600004,2,2,2,Ost
165468,14,7,13,000,2018,01,16,2,3,3,2,1,1,1,0,0,0,0,0,"736715,162800000050000","5689263,463299999900000",12.396244749000061,51.305377383000064,4,4,4,Süd
165473,14,7,13,000,2018,01,07,2,3,5,2,0,1,1,0,0,0,0,0,"732642,259100000020000","5690708,462700000000000",12.338858995000066,51.32002763100007,5,5,5,Südwest
165476,14,7,13,000,2018,01,15,2,3,1,5,0,1,1,0,0,0,0,0,"734728,123499999990000","5690175,784300000400000",12.368389233000073,51.31438949500006,4,4,4,Süd
165492,14,7,13,000,2018,01,00,1,3,2,6,2,0,1,0,0,0,0,0,"734653,754900000060000","5693281,901800000100000",12.369369057000029,51.34230204600004,0,0,0,Mitte
165495,14,7,13,000,2018,01,19,1,3,5,3,2,0,1,0,0,0,0,0,"729936,054000000000000","5693199,263000000300000",12.301696712000023,51.343487647000075,7,7,7,Alt-West
165500,14,7,13,000,2018,01,03,1,2,6,4,2,0,1,1,0,0,0,1,"736941,979199999940000","5690489,165799999600000",12.400306862000036,51.31628515800003,0,0,0,Mitte
165503,14,7,13,000,2018,01,11,1,2,5,3,0,0,1,0,0,0,0,1,"735602,394100000030000","5697095,342500000300000",12.385490362000041,51.376140157000066,9,9,9,Nord
165507,14,7,13,000,2018,01,18,7,3,2,6,2,0,1,0,0,0,0,0,"731176,210700000050000","5690681,998800000200000",12.317839240000069,51.32038755100007,5,5,5,Südwest
165509,14,7,13,000,2018,01,18,7,3,5,3,2,0,1,0,0,0,0,0,"735116,943199999980000","5693979,542700000100000",12.376468221000039,51.34837297000007,0,0,0,Mitte
165519,14,7,13,000,2018,01,13,6,3,6,7,0,0,1,1,0,0,0,1,"736042,552900000010000","5692252,998100000400000",12.388591543000075,51.33249153200006,0,0,0,Mitte
165522,14,7,13,000,2018,01,07,6,3,5,3,0,1,0,0,0,1,0,0,"734653,275600000050000","5693209,865500000300000",12.36931472200007,51.341655616000025,0,0,0,Mitte
165543,14,7,13,000,2018,01,21,5,3,3,6,2,1,0,0,0,0,0,0,"734059,631900000040000","5690728,141300000300000",12.359176495000042,51.31962305500008,4,4,4,Süd
165545,14,7,13,000,2018,01,16,5,3,5,2,2,1,1,0,0,0,0,1,"740902,273000000040000","5696371,433000000200000",12.461008893000042,51.36741940600007,2,2,2,Ost
