OBJECTID,UIDENTSTLA,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstSonstig,LICHT,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,index_right,FID,SBZ,Name
66823,14171213144200872131,14,7,13,000,2017,12,14,4,3,2,6,0,1,0,0,0,0,0,"740046,223600000030000","5694426,641099999700000",12.44742197200003,51.35032599600004,2,2,2,Ost
66881,14171211144200903281,14,7,13,000,2017,12,09,2,3,2,6,0,1,0,0,1,0,1,"738255,685799999980000","5694482,901999999800000",12.42179426000007,51.351584297000045,1,1,1,Nordost
66893,14171210148410872320,14,7,13,000,2017,12,18,1,3,1,6,0,1,0,0,0,2,2,"733835,431699999960000","5693187,443799999500000",12.357578515000057,51.341791268000065,0,0,0,Mitte
66920,14171210144200860050,14,7,13,000,2017,12,18,1,3,4,1,0,1,0,0,0,2,2,"739639,333100000050000","5694462,967199999800000",12.44161420200004,51.350823727000034,2,2,2,Ost
66962,14171229144200918610,14,7,13,000,2017,12,19,6,3,5,3,1,1,0,0,0,2,0,"732963,558199999970000","5692857,664099999700000",12.34486675900007,51.339188841000066,7,7,7,Alt-West
67001,14171208144200863170,14,7,13,000,2017,12,06,6,2,2,6,0,1,0,0,0,1,1,"732220,551300000050000","5699202,634999999800000",12.338361802000065,51.39644949600006,8,8,8,Nordwest
67020,14171227144200918540,14,7,13,000,2017,12,15,4,3,5,3,0,0,0,0,1,0,0,"739746,038999999990000","5695501,230499999600000",12.443843198000025,51.36009787200004,2,2,2,Ost
67043,14171226144310938030,14,7,13,000,2017,12,18,3,3,2,6,0,1,0,0,0,2,0,"742279,770299999970000","5694734,851700000500000",12.479645602000062,51.35214474000003,2,2,2,Ost
67051,14171207148310865480,14,7,13,000,2017,12,07,5,3,5,3,0,1,0,0,0,1,0,"729993,809200000020000","5693103,538200000300000",12.302462725000055,51.34260496300004,7,7,7,Alt-West
67053,14171207144200909240,14,7,13,000,2017,12,13,5,3,3,2,1,1,0,0,0,0,0,"736161,710899999950000","5693925,462000000300000",12.391407891000028,51.34745446800008,0,0,0,Mitte
67057,14171207144200841700,14,7,13,000,2017,12,06,5,2,5,3,1,1,0,0,0,2,0,"735174,236900000020000","5693551,234199999800000",12.377006556000026,51.34450463100006,0,0,0,Mitte
67105,14171206144200949420,14,7,13,000,2017,12,17,4,3,3,5,1,0,0,0,1,2,0,"734274,908399999960000","5693337,784300000400000",12.363976077000075,51.34295989300006,0,0,0,Mitte
67122,14171205148410847270,14,7,13,000,2017,12,08,3,3,3,6,0,1,0,0,0,0,1,"736236,984999999990000","5693717,560100000400000",12.392348885000047,51.34555702600005,0,0,0,Mitte
67123,14171205148110839580,14,7,13,000,2017,12,23,3,3,5,3,0,1,0,0,0,2,0,"730260,660700000010000","5701140,807599999900000",12.311495299000057,51.414646796000056,8,8,8,Nordwest
67132,14171222144200921640,14,7,13,000,2017,12,11,6,3,2,6,0,1,0,0,0,0,0,"742195,269899999960000","5694717,020200000100000",12.478422268000031,51.352020707000065,2,2,2,Ost
67160,14171204148410843360,14,7,13,000,2017,12,06,2,2,6,2,0,1,1,0,0,2,1,"736315,293900000050000","5694358,087299999800000",12.393896471000062,51.351273967000054,0,0,0,Mitte
67162,14171204148110834420,14,7,13,000,2017,12,05,2,3,2,6,0,1,0,0,0,1,1,"733903,927000000030000","5696952,515900000000000",12.361035499000025,51.37556017000003,9,9,9,Nord
67163,14171204144200959590,14,7,13,000,2017,12,14,2,3,6,2,0,1,1,0,0,0,0,"731965,537099999960000","5692425,393000000200000",12.330281825000043,51.33571643000005,7,7,7,Alt-West
67164,14171204144200909660,14,7,13,000,2017,12,18,2,2,6,4,0,1,1,0,0,2,1,"727569,285999999960000","5693344,223000000200000",12.267864132000057,51.34574125300003,7,7,7,Alt-West
67166,14171204144200834030,14,7,13,000,2017,12,13,2,3,2,6,0,1,0,0,1,0,1,"740250,530499999990000","5695912,553999999500000",12.45135368700005,51.363576685000055,2,2,2,Ost
67184,14171221148310898460,14,7,13,000,2017,12,01,5,3,0,1,0,0,0,1,0,2,1,"732300,607300000030000","5692440,435100000400000",12.335093426000071,51.33571469600008,7,7,7,Alt-West
67186,14171221144310898160,14,7,13,000,2017,12,17,5,3,2,6,0,1,0,0,0,1,1,"742924,172099999970000","5695021,834300000200000",12.489078044000053,51.354445455000075,2,2,2,Ost
67210,14171220148110902160,14,7,13,000,2017,12,18,4,3,2,6,0,1,0,0,0,2,0,"735962,358600000040000","5697123,145700000200000",12.390671612000062,51.37624027700008,9,9,9,Nord
67220,14171203148410847280,14,7,13,000,2017,12,17,1,3,1,1,0,1,0,0,0,2,1,"737417,430100000000000","5690744,646900000100000",12.407287105000023,51.318380243000036,3,3,3,Südost
67221,14171203144200841710,14,7,13,000,2017,12,17,1,3,3,2,0,1,0,0,0,2,2,"735550,561600000020000","5690263,160699999900000",12.38022705800006,51.314834044000065,4,4,4,Süd
67231,14171220144200071410,14,7,13,000,2017,12,19,4,3,5,3,0,1,0,0,0,2,1,"743389,233000000010000","5695195,838000000500000",12.495863303000021,51.35580821600007,2,2,2,Ost
67244,14171202144200847200,14,7,13,000,2017,12,22,7,2,5,3,1,1,0,0,0,2,0,"736426,456699999980000","5692747,029000000100000",12.394420274000026,51.336766606000026,3,3,3,Südost
67285,14171201148410826890,14,7,13,000,2017,12,06,6,3,6,4,0,1,1,0,0,2,1,"735388,459400000050000","5693535,477500000000000",12.380066544000044,51.34427454400003,0,0,0,Mitte
67286,14171201144310837490,14,7,13,000,2017,12,06,6,3,3,6,0,1,0,0,1,2,2,"735080,107199999970000","5700578,330799999600000",12.380305142000054,51.40762074600008,9,9,9,Nord
67331,14171218144200886200,14,7,13,000,2017,12,12,2,2,4,2,0,1,0,0,0,0,0,"742257,371099999990000","5694719,722099999900000",12.479314242000044,51.35201849300006,2,2,2,Ost
67363,14171130148210833200,14,7,13,000,2017,11,07,5,3,6,4,0,1,1,0,0,0,0,"741353,434699999980000","5686911,257799999800000",12.461073063000072,51.28231763900004,3,3,3,Südost
67419,14171129144200819810,14,7,13,000,2017,11,16,4,3,2,6,0,1,0,0,1,1,0,"731141,208400000000000","5700374,558799999800000",12.323636735000036,51.407410199000026,8,8,8,Nordwest
158681,14170103148410841320,14,7,13,000,2017,01,06,3,3,6,4,0,1,1,0,0,2,1,"735761,395699999990000","5693475,751699999900000",12.385372159000042,51.343583909000074,0,0,0,Mitte
158682,14170103148313895900,14,7,13,000,2017,01,11,3,3,5,3,1,1,0,0,0,0,1,"727210,545599999950000","5693564,957200000100000",12.262862518000077,51.34786635300003,7,7,7,Alt-West
158685,14170103144200837750,14,7,13,000,2017,01,19,3,3,1,5,1,1,0,0,0,1,1,"735062,024800000010000","5690744,758200000000000",12.37354687900006,51.31935903900006,4,4,4,Süd
158694,14170102144200846380,14,7,13,000,2017,01,08,2,3,2,6,0,1,0,0,0,0,2,"733460,081899999990000","5695497,140900000000000",12.353713928000047,51.362678610000046,9,9,9,Nord
158695,14170102144200838560,14,7,13,000,2017,01,16,2,3,0,1,1,0,0,0,0,1,2,"739911,120000000000000","5693142,307699999800000",12.444620118000046,51.338855239000054,2,2,2,Ost
158702,14170101144200004690,14,7,13,000,2017,01,01,1,2,8,1,0,1,0,0,1,2,0,"734942,617899999950000","5695273,239699999800000",12.374823511000045,51.36005771600003,9,9,9,Nord
158949,14170131148410925330,14,7,13,000,2017,01,07,3,3,5,3,0,1,0,0,1,1,1,"736916,195799999990000","5693172,517099999800000",12.401721266000038,51.340382032000036,2,2,2,Ost
158950,14170131148310978780,14,7,13,000,2017,01,10,3,3,5,3,0,1,0,0,1,0,1,"732323,027200000010000","5690631,355999999700000",12.334235505000038,51.31946588500006,5,5,5,Südwest
158951,14170131148310922110,14,7,13,000,2017,01,15,3,3,2,2,0,1,0,0,0,0,1,"732610,307500000000000","5692303,850399999900000",12.339442449000046,51.33436203300005,7,7,7,Alt-West
158952,14170131148220918700,14,7,13,000,2017,01,18,3,3,8,1,0,1,0,0,0,2,1,"739377,345800000010000","5687392,019600000200000",12.433112313000038,51.28746648600003,3,3,3,Südost
158953,14170131145200962950,14,7,13,000,2017,01,18,3,3,2,6,0,1,0,0,0,2,2,"730760,256999999980000","5696291,546900000400000",12.315515884000035,51.37091282800003,8,8,8,Nordwest
158954,14170131144200922160,14,7,13,000,2017,01,16,3,2,5,3,0,1,0,1,0,0,1,"731774,915700000010000","5691018,167100000200000",12.32663486000007,51.32316173500004,5,5,5,Südwest
158963,14170130148410962430,14,7,13,000,2017,01,15,2,3,0,5,1,1,0,0,0,0,1,"737183,044499999960000","5693747,436400000000000",12.405928424000024,51.34543130900005,2,2,2,Ost
158964,14170130148410941500,14,7,13,000,2017,01,11,2,2,3,2,1,0,0,0,1,0,1,"736590,451600000030000","5693783,835599999900000",12.397459110000057,51.34600494400007,2,2,2,Ost
158965,14170130148110945280,14,7,13,000,2017,01,06,2,3,5,2,0,1,0,0,1,2,0,"740593,357599999990000","5700200,469600000400000",12.459172586000022,51.40191790500006,1,1,1,Nordost
158977,14170129145200918850,14,7,13,000,2017,01,17,1,3,5,3,0,1,0,0,0,2,0,"739916,308700000050000","5694544,900200000000000",12.44563953200003,51.35144229900004,2,2,2,Ost
158980,14170128144200925430,14,7,13,000,2017,01,16,7,2,6,4,0,0,1,0,1,1,0,"735550,809000000010000","5692968,872999999700000",12.382018687000027,51.339121299000055,0,0,0,Mitte
158990,14170127148110915310,14,7,13,000,2017,01,21,6,3,3,5,1,1,0,0,0,2,0,"734323,519199999980000","5695883,455699999800000",12.366348993000031,51.36579089900005,9,9,9,Nord
158991,14170127144200918870,14,7,13,000,2017,01,16,6,2,6,4,0,1,1,0,0,0,1,"740171,912600000040000","5689261,167100000200000",12.445742979000045,51.30390913300005,3,3,3,Südost
158996,14170126662218912230,14,7,13,000,2017,01,11,5,3,5,3,1,0,0,0,1,0,0,"733852,367600000000000","5693450,081500000300000",12.357993718000046,51.34414187500005,0,0,0,Mitte
159000,14170126148421903730,14,7,13,000,2017,01,08,5,3,6,4,0,0,1,0,1,0,0,"735059,332000000050000","5690445,627000000300000",12.373311135000051,51.31667502700003,4,4,4,Süd
159001,14170126148420925410,14,7,13,000,2017,01,15,5,3,0,7,1,1,0,0,0,0,0,"735162,725199999990000","5693393,618300000200000",12.37673747100007,51.34309457900008,0,0,0,Mitte
159002,14170126144200912330,14,7,13,000,2017,01,23,5,3,8,1,0,1,0,0,0,2,0,"736394,456000000010000","5695219,048000000400000",12.395603163000033,51.358969165000076,9,9,9,Nord
159003,14170126144200912310,14,7,13,000,2017,01,11,5,2,3,2,1,1,0,0,0,0,0,"736772,342100000010000","5692024,735299999800000",12.398896860000036,51.33013929300006,3,3,3,Südost
159009,14170125148410941530,14,7,13,000,2017,01,10,4,3,2,6,0,1,0,0,0,0,1,"734841,433399999980000","5691788,823699999600000",12.371074681000039,51.32882209400003,0,0,0,Mitte
159010,14170125148310907540,14,7,13,000,2017,01,19,4,3,2,6,0,1,0,1,0,2,1,"728459,467999999990000","5689501,219999999700000",12.278161128000022,51.310884619000035,6,6,6,West
159015,14170124662221912170,14,7,13,000,2017,01,11,3,3,2,2,0,1,0,0,0,0,2,"734189,724500000010000","5692886,017300000400000",12.362458108000055,51.338939710000034,0,0,0,Mitte
159017,14170124148321907670,14,7,13,000,2017,01,10,3,3,6,4,0,0,1,0,1,0,1,"729035,337500000020000","5690833,819699999900000",12.287265508000075,51.322616219000054,6,6,6,West
159018,14170124145200915430,14,7,13,000,2017,01,20,3,3,5,2,0,1,0,0,0,2,2,"732335,950700000040000","5696217,405000000300000",12.338065553000035,51.369604964000075,8,8,8,Nordwest
159019,14170124144200911960,14,7,13,000,2017,01,09,3,3,1,1,0,1,0,0,1,0,2,"734609,497800000010000","5692808,514299999900000",12.368422925000061,51.33807098300008,0,0,0,Mitte
159029,14170123148210904030,14,7,13,000,2017,01,08,2,3,5,3,0,1,0,0,0,0,2,"742139,202200000060000","5692840,401899999900000",12.47634256400005,51.335201194000035,2,2,2,Ost
