OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND,index_right,FID,SBZ,Name
256245,14,7,13,000,2019,01,18,5,3,8,1,2,0,1,0,1,0,0,"727829,418252409440000","5690617,959175387400000",12.269849760000056,51.321162515000026,1,6,6,6,West
256253,14,7,13,000,2019,01,09,2,3,1,1,0,1,1,0,0,0,0,"735077,191177370030000","5695379,856429867400000",12.376823432000037,51.36095908500005,2,0,0,0,Mitte
256255,14,7,13,000,2019,01,11,5,3,6,7,0,0,1,1,0,0,0,"734801,897300706250000","5691514,221358358900000",12.370327304000057,51.326373466000064,0,0,0,0,Mitte
256256,14,7,13,000,2019,01,15,2,3,9,1,0,0,1,0,0,0,0,"737316,006000000050000","5696083,732000000800000",12.409392214000036,51.36634647600005,2,1,1,1,Nordost
256258,14,7,13,000,2019,01,01,6,3,0,7,2,0,1,0,0,0,0,"732519,226000001650000","5690852,860000003100000",12.337190616000044,51.32137413500004,0,5,5,5,Südwest
256260,14,7,13,000,2019,01,09,3,3,2,6,0,0,1,0,0,0,0,"729924,833131212740000","5694328,198510298500000",12.302265040000066,51.35362666000003,2,7,7,7,Alt-West
256272,14,7,13,000,2019,01,12,7,3,4,6,0,0,1,0,0,0,0,"740857,209953081790000","5685828,517379839000000",12.45324138500007,51.27280922400007,1,3,3,3,Südost
256273,14,7,13,000,2019,01,17,3,3,3,6,1,1,1,0,0,0,0,"734275,902417459530000","5691915,429685600100000",12.363054920000025,51.330191754000055,1,0,0,0,Mitte
256274,14,7,13,000,2019,01,13,6,2,6,4,0,0,1,1,0,0,0,"731632,380459918640000","5692234,691724399100000",12.325383431000034,51.33414032500008,0,7,7,7,Alt-West
256275,14,7,13,000,2019,01,07,3,3,6,4,1,0,1,1,0,0,0,"730802,233041128140000","5689560,535818036600000",12.311755833000063,51.31047201400003,1,5,5,5,Südwest
256278,14,7,13,000,2019,01,16,3,3,5,3,0,0,1,0,0,0,0,"736120,317841885610000","5695097,481424238500000",12.391592139000068,51.35799193500003,0,9,9,9,Nord
256281,14,7,13,000,2019,01,19,2,3,3,5,2,0,1,0,0,0,1,"735420,383224715480000","5693066,430073469900000",12.380214026000033,51.34005101100007,1,0,0,0,Mitte
256283,14,7,13,000,2019,01,17,3,3,6,2,2,0,1,1,0,0,0,"729061,765706415290000","5694972,293698431900000",12.290305981000074,51.359757269000056,1,7,7,7,Alt-West
256286,14,7,13,000,2019,01,10,3,3,3,6,0,0,1,0,0,0,1,"733959,765431218780000","5696860,601443881200000",12.361775876000024,51.37471210600006,1,9,9,9,Nord
256290,14,7,13,000,2019,01,16,3,3,5,3,2,0,1,0,0,0,1,"727483,129268247630000","5689017,802892120600000",12.263867894000043,51.30693580500008,1,6,6,6,West
256291,14,7,13,000,2019,01,15,4,2,1,5,0,1,1,0,0,0,0,"736605,933181992730000","5693781,402920100800000",12.397679390000064,51.34597666500008,0,2,2,2,Ost
